Time,Altitude(m),Drag_Angle(deg),Lift_Angle(deg),Drag_X,Drag_Y,Drag_Z,Lift_X,Lift_Y,Lift_Z,Vel_X,Vel_Y,Vel_Z
0.02,58175.83,180.0000,90.0000,44.279054,10.102995,-28.824440,11.692362,5.649019,19.941368,-285.484144,-65.137903,185.842283
0.02,58175.83,180.0000,90.0000,44.279054,10.102995,-28.824440,11.692362,5.649019,19.941368,-285.484144,-65.137903,185.842283
0.02,58175.83,180.0000,90.0000,44.279054,10.102995,-28.824440,11.692362,5.649019,19.941368,-285.484144,-65.137903,185.842283
0.03,58175.83,180.0000,90.0000,44.279054,10.102995,-28.824440,11.692362,5.649019,19.941368,-285.484144,-65.137903,185.842283
0.03,58175.83,180.0000,90.0000,44.279054,10.102995,-28.824440,11.692362,5.649019,19.941368,-285.484144,-65.137903,185.842283
0.03,58175.83,180.0000,90.0000,44.279054,10.102995,-28.824440,11.692362,5.649019,19.941368,-285.484144,-65.137903,185.842283
0.04,58172.19,180.0000,90.0000,44.372609,10.124580,-28.914252,11.700467,5.746385,19.968008,-285.480327,-65.138574,186.025801
0.04,58172.19,180.0000,90.0000,44.372609,10.124580,-28.914252,11.700467,5.746385,19.968008,-285.480327,-65.138574,186.025801
0.04,58172.19,180.0000,90.0000,44.372609,10.124580,-28.914252,11.700467,5.746385,19.968008,-285.480327,-65.138574,186.025801
0.04,58172.19,180.0000,90.0000,44.372609,10.124580,-28.914252,11.700467,5.746385,19.968008,-285.480327,-65.138574,186.025801
0.04,58172.19,180.0000,90.0000,44.372609,10.124580,-28.914252,11.700467,5.746385,19.968008,-285.480327,-65.138574,186.025801
0.04,58172.19,180.0000,90.0000,44.372609,10.124580,-28.914252,11.700467,5.746385,19.968008,-285.480327,-65.138574,186.025801
0.07,58168.54,180.0000,90.0000,44.369204,10.124043,-28.940942,11.652196,5.826743,19.902216,-285.476510,-65.139245,186.209317
0.07,58168.54,180.0000,90.0000,44.369204,10.124043,-28.940942,11.652196,5.826743,19.902216,-285.476510,-65.139245,186.209317
0.07,58168.54,180.0000,90.0000,44.369204,10.124043,-28.940942,11.652196,5.826743,19.902216,-285.476510,-65.139245,186.209317
0.07,58168.54,180.0000,90.0000,44.369204,10.124043,-28.940942,11.652196,5.826743,19.902216,-285.476510,-65.139245,186.209317
0.07,58168.54,180.0000,90.0000,44.369204,10.124043,-28.940942,11.652196,5.826743,19.902216,-285.476510,-65.139245,186.209317
0.07,58168.54,180.0000,90.0000,44.369204,10.124043,-28.940942,11.652196,5.826743,19.902216,-285.476510,-65.139245,186.209317
0.08,58168.54,180.0000,90.0000,44.427615,10.137611,-29.007991,11.655202,5.943481,19.927803,-285.472690,-65.139915,186.392836
0.08,58164.90,180.0000,90.0000,44.427615,10.137611,-29.007991,11.655202,5.943481,19.927803,-285.472690,-65.139915,186.392836
0.09,58164.90,180.0000,90.0000,44.427615,10.137611,-29.007991,11.655202,5.943481,19.927803,-285.472690,-65.139915,186.392836
0.09,58164.90,180.0000,90.0000,44.427615,10.137611,-29.007991,11.655202,5.943481,19.927803,-285.472690,-65.139915,186.392836
0.09,58164.90,180.0000,90.0000,44.427615,10.137611,-29.007991,11.655202,5.943481,19.927803,-285.472690,-65.139915,186.392836
0.09,58164.90,180.0000,90.0000,44.427615,10.137611,-29.007991,11.655202,5.943481,19.927803,-285.472690,-65.139915,186.392836
0.11,58164.90,179.9741,90.0000,44.427615,10.137611,-29.007991,11.596090,6.039221,19.850968,-285.468870,-65.140585,186.576354
0.11,58161.25,180.0000,90.0000,44.424210,10.137074,-29.034715,11.596090,6.039221,19.850968,-285.468870,-65.140585,186.576354
0.12,58161.25,180.0000,90.0000,44.424210,10.137074,-29.034715,11.596090,6.039221,19.850968,-285.468870,-65.140585,186.576354
0.12,58161.25,180.0000,90.0000,44.424210,10.137074,-29.034715,11.596090,6.039221,19.850968,-285.468870,-65.140585,186.576354
0.12,58161.25,180.0000,90.0000,44.424210,10.137074,-29.034715,11.596090,6.039221,19.850968,-285.468870,-65.140585,186.576354
0.12,58161.25,180.0000,90.0000,44.424210,10.137074,-29.034715,11.596090,6.039221,19.850968,-285.468870,-65.140585,186.576354
0.13,58161.25,179.9741,89.9744,44.424210,10.137074,-29.034715,11.596090,6.039221,19.850968,-285.465046,-65.141255,186.759875
0.13,58157.59,180.0000,90.0000,44.483907,10.150936,-29.102719,11.593164,6.174968,19.874121,-285.465046,-65.141255,186.759875
0.13,58157.59,180.0000,90.0000,44.483907,10.150936,-29.102719,11.593164,6.174968,19.874121,-285.465046,-65.141255,186.759875
0.13,58157.59,180.0000,90.0000,44.483907,10.150936,-29.102719,11.593164,6.174968,19.874121,-285.465046,-65.141255,186.759875
0.13,58157.59,180.0000,90.0000,44.483907,10.150936,-29.102719,11.593164,6.174968,19.874121,-285.465046,-65.141255,186.759875
0.13,58157.59,180.0000,90.0000,44.483907,10.150936,-29.102719,11.593164,6.174968,19.874121,-285.465046,-65.141255,186.759875
0.14,58157.59,180.0000,90.0000,44.483907,10.150936,-29.102719,11.593164,6.174968,19.874121,-285.465046,-65.141255,186.759875
0.16,58157.59,180.0000,90.0000,44.480505,10.150400,-29.129479,11.522482,6.285296,19.784910,-285.461222,-65.141925,186.943394
0.16,58153.93,180.0000,90.0000,44.480505,10.150400,-29.129479,11.522482,6.285296,19.784910,-285.461222,-65.141925,186.943394
0.16,58153.93,180.0000,90.0000,44.480505,10.150400,-29.129479,11.522482,6.285296,19.784910,-285.461222,-65.141925,186.943394
0.16,58153.93,180.0000,90.0000,44.480505,10.150400,-29.129479,11.522482,6.285296,19.784910,-285.461222,-65.141925,186.943394
0.16,58153.93,180.0000,90.0000,44.480505,10.150400,-29.129479,11.522482,6.285296,19.784910,-285.461222,-65.141925,186.943394
0.17,58153.93,180.0000,90.0000,44.480505,10.150400,-29.129479,11.522482,6.285296,19.784910,-285.461222,-65.141925,186.943394
0.17,58153.93,179.9742,90.0000,44.480505,10.150400,-29.129479,11.513171,6.439826,19.804884,-285.457395,-65.142594,187.126917
0.17,58150.27,180.0000,90.0000,44.541544,10.164570,-29.198479,11.513171,6.439826,19.804884,-285.457395,-65.142594,187.126917
0.18,58150.27,180.0000,90.0000,44.541544,10.164570,-29.198479,11.513171,6.439826,19.804884,-285.457395,-65.142594,187.126917
0.18,58150.27,180.0000,90.0000,44.541544,10.164570,-29.198479,11.513171,6.439826,19.804884,-285.457395,-65.142594,187.126917
0.18,58150.27,180.0000,90.0000,44.541544,10.164570,-29.198479,11.513171,6.439826,19.804884,-285.457395,-65.142594,187.126917
0.18,58150.27,180.0000,90.0000,44.541544,10.164570,-29.198479,11.513171,6.439826,19.804884,-285.457395,-65.142594,187.126917
0.18,58150.27,180.0000,90.0000,44.541544,10.164570,-29.198479,11.513171,6.439826,19.804884,-285.457395,-65.142594,187.126917
0.20,58146.61,180.0000,90.0000,44.538146,10.164036,-29.225277,11.430099,6.563736,19.701763,-285.453568,-65.143264,187.310437
0.20,58146.61,180.0000,90.0000,44.538146,10.164036,-29.225277,11.430099,6.563736,19.701763,-285.453568,-65.143264,187.310437
0.20,58146.61,180.0000,90.0000,44.538146,10.164036,-29.225277,11.430099,6.563736,19.701763,-285.453568,-65.143264,187.310437
0.21,58146.61,180.0000,90.0000,44.538146,10.164036,-29.225277,11.430099,6.563736,19.701763,-285.453568,-65.143264,187.310437
0.21,58146.61,180.0000,90.0000,44.538146,10.164036,-29.225277,11.430099,6.563736,19.701763,-285.453568,-65.143264,187.310437
0.21,58146.61,180.0000,90.0000,44.538146,10.164036,-29.225277,11.430099,6.563736,19.701763,-285.453568,-65.143264,187.310437
0.22,58146.61,179.9742,90.0000,44.538146,10.164036,-29.225277,11.413937,6.736760,19.717778,-285.449738,-65.143933,187.493961
0.22,58142.94,180.0000,90.0000,44.600650,10.178541,-29.295359,11.413937,6.736760,19.717778,-285.449738,-65.143933,187.493961
0.22,58142.94,180.0000,90.0000,44.600650,10.178541,-29.295359,11.413937,6.736760,19.717778,-285.449738,-65.143933,187.493961
0.22,58142.94,180.0000,90.0000,44.600650,10.178541,-29.295359,11.413937,6.736760,19.717778,-285.449738,-65.143933,187.493961
0.22,58142.94,180.0000,90.0000,44.600650,10.178541,-29.295359,11.413937,6.736760,19.717778,-285.449738,-65.143933,187.493961
0.22,58142.94,180.0000,90.0000,44.600650,10.178541,-29.295359,11.413937,6.736760,19.717778,-285.449738,-65.143933,187.493961
0.22,58142.94,180.0000,90.0000,44.600650,10.178541,-29.295359,11.413937,6.736760,19.717778,-285.449738,-65.143933,187.493961
0.25,58139.26,180.0000,90.0000,44.597265,10.178009,-29.322202,11.317561,6.873016,19.599002,-285.445907,-65.144602,187.677483
0.25,58139.26,180.0000,90.0000,44.597265,10.178009,-29.322202,11.317561,6.873016,19.599002,-285.445907,-65.144602,187.677483
0.25,58139.26,180.0000,90.0000,44.597265,10.178009,-29.322202,11.317561,6.873016,19.599002,-285.445907,-65.144602,187.677483
0.25,58139.26,180.0000,90.0000,44.597265,10.178009,-29.322202,11.317561,6.873016,19.599002,-285.445907,-65.144602,187.677483
0.25,58139.26,180.0000,90.0000,44.597265,10.178009,-29.322202,11.317561,6.873016,19.599002,-285.445907,-65.144602,187.677483
0.25,58139.26,180.0000,90.0000,44.597265,10.178009,-29.322202,11.317561,6.873016,19.599002,-285.445907,-65.144602,187.677483
0.26,58139.26,179.9742,90.0000,44.597265,10.178009,-29.322202,11.294042,7.064142,19.610190,-285.442074,-65.145271,187.861009
0.26,58135.59,180.0000,90.0000,44.661330,10.192872,-29.393433,11.294042,7.064142,19.610190,-285.442074,-65.145271,187.861009
0.26,58135.59,180.0000,90.0000,44.661330,10.192872,-29.393433,11.294042,7.064142,19.610190,-285.442074,-65.145271,187.861009
0.27,58135.59,180.0000,90.0000,44.661330,10.192872,-29.393433,11.294042,7.064142,19.610190,-285.442074,-65.145271,187.861009
0.27,58135.59,180.0000,90.0000,44.661330,10.192872,-29.393433,11.294042,7.064142,19.610190,-285.442074,-65.145271,187.861009
0.27,58135.59,180.0000,90.0000,44.661330,10.192872,-29.393433,11.294042,7.064142,19.610190,-285.442074,-65.145271,187.861009
0.27,58135.59,180.0000,90.0000,44.661330,10.192872,-29.393433,11.294042,7.064142,19.610190,-285.442074,-65.145271,187.861009
0.29,58131.91,180.0000,90.0000,44.657967,10.192346,-29.420328,11.183382,7.211243,19.473834,-285.438239,-65.145940,188.044532
0.29,58131.91,180.0000,90.0000,44.657967,10.192346,-29.420328,11.183382,7.211243,19.473834,-285.438239,-65.145940,188.044532
0.30,58131.91,180.0000,90.0000,44.657967,10.192346,-29.420328,11.183382,7.211243,19.473834,-285.438239,-65.145940,188.044532
0.30,58131.91,180.0000,90.0000,44.657967,10.192346,-29.420328,11.183382,7.211243,19.473834,-285.438239,-65.145940,188.044532
0.30,58131.91,180.0000,90.0000,44.657967,10.192346,-29.420328,11.183382,7.211243,19.473834,-285.438239,-65.145940,188.044532
0.30,58131.91,180.0000,90.0000,44.657967,10.192346,-29.420328,11.183382,7.211243,19.473834,-285.438239,-65.145940,188.044532
0.31,58131.91,180.0000,90.0000,44.723644,10.207595,-29.492707,11.151937,7.419818,19.479180,-285.434346,-65.146706,188.227767
0.31,58128.23,180.0000,90.0000,44.723644,10.207595,-29.492707,11.151937,7.419818,19.479180,-285.434346,-65.146706,188.227767
0.31,58128.23,180.0000,90.0000,44.723644,10.207595,-29.492707,11.151937,7.419818,19.479180,-285.434346,-65.146706,188.227767
0.31,58128.23,180.0000,90.0000,44.723644,10.207595,-29.492707,11.151937,7.419818,19.479180,-285.434346,-65.146706,188.227767
0.31,58128.23,180.0000,90.0000,44.723644,10.207595,-29.492707,11.151937,7.419818,19.479180,-285.434346,-65.146706,188.227767
0.31,58128.23,180.0000,90.0000,44.723644,10.207595,-29.492707,11.151937,7.419818,19.479180,-285.434346,-65.146706,188.227767
0.34,58128.23,179.9743,89.9749,44.723644,10.207595,-29.492707,11.151937,7.419818,19.479180,-285.430453,-65.147472,188.410999
0.34,58124.54,180.0000,90.0000,44.720320,10.207095,-29.519626,11.026078,7.575775,19.323293,-285.430453,-65.147472,188.410999
0.34,58124.54,180.0000,90.0000,44.720320,10.207095,-29.519626,11.026078,7.575775,19.323293,-285.430453,-65.147472,188.410999
0.34,58124.54,180.0000,90.0000,44.720320,10.207095,-29.519626,11.026078,7.575775,19.323293,-285.430453,-65.147472,188.410999
0.34,58124.54,180.0000,90.0000,44.720320,10.207095,-29.519626,11.026078,7.575775,19.323293,-285.430453,-65.147472,188.410999
0.34,58124.54,180.0000,90.0000,44.720320,10.207095,-29.519626,11.026078,7.575775,19.323293,-285.430453,-65.147472,188.410999
0.34,58124.54,180.0000,90.0000,44.720320,10.207095,-29.519626,11.026078,7.575775,19.323293,-285.430453,-65.147472,188.410999
0.35,58120.85,180.0000,90.0000,44.787687,10.222733,-29.593249,10.986197,7.801027,19.321777,-285.426544,-65.148251,188.594215
0.35,58120.85,180.0000,90.0000,44.787687,10.222733,-29.593249,10.986197,7.801027,19.321777,-285.426544,-65.148251,188.594215
0.35,58120.85,180.0000,90.0000,44.787687,10.222733,-29.593249,10.986197,7.801027,19.321777,-285.426544,-65.148251,188.594215
0.36,58120.85,180.0000,90.0000,44.787687,10.222733,-29.593249,10.986197,7.801027,19.321777,-285.426544,-65.148251,188.594215
0.36,58120.85,180.0000,90.0000,44.787687,10.222733,-29.593249,10.986197,7.801027,19.321777,-285.426544,-65.148251,188.594215
0.36,58120.85,180.0000,90.0000,44.787687,10.222733,-29.593249,10.986197,7.801027,19.321777,-285.426544,-65.148251,188.594215
0.38,58120.85,179.9743,90.0000,44.787687,10.222733,-29.593249,10.844147,7.963710,19.144200,-285.422635,-65.149029,188.777429
0.38,58117.15,180.0000,90.0000,44.784405,10.222246,-29.620232,10.844147,7.963710,19.144200,-285.422635,-65.149029,188.777429
0.39,58117.15,180.0000,90.0000,44.784405,10.222246,-29.620232,10.844147,7.963710,19.144200,-285.422635,-65.149029,188.777429
0.39,58117.15,180.0000,90.0000,44.784405,10.222246,-29.620232,10.844147,7.963710,19.144200,-285.422635,-65.149029,188.777429
0.39,58117.15,180.0000,90.0000,44.784405,10.222246,-29.620232,10.844147,7.963710,19.144200,-285.422635,-65.149029,188.777429
0.39,58117.15,180.0000,90.0000,44.784405,10.222246,-29.620232,10.844147,7.963710,19.144200,-285.422635,-65.149029,188.777429
0.39,58117.15,180.0000,90.0000,44.784405,10.222246,-29.620232,10.844147,7.963710,19.144200,-285.422635,-65.149029,188.777429
0.40,58113.46,180.0000,90.0000,44.853305,10.238238,-29.695001,10.794869,8.204530,19.134044,-285.418715,-65.149818,188.960639
0.40,58113.46,180.0000,90.0000,44.853305,10.238238,-29.695001,10.794869,8.204530,19.134044,-285.418715,-65.149818,188.960639
0.40,58113.46,180.0000,90.0000,44.853305,10.238238,-29.695001,10.794869,8.204530,19.134044,-285.418715,-65.149818,188.960639
0.40,58113.46,180.0000,90.0000,44.853305,10.238238,-29.695001,10.794869,8.204530,19.134044,-285.418715,-65.149818,188.960639
0.40,58113.46,180.0000,90.0000,44.853305,10.238238,-29.695001,10.794869,8.204530,19.134044,-285.418715,-65.149818,188.960639
0.41,58113.46,180.0000,90.0000,44.853305,10.238238,-29.695001,10.794869,8.204530,19.134044,-285.418715,-65.149818,188.960639
0.43,58113.46,180.0000,90.0000,44.850080,10.237766,-29.722063,10.635610,8.371459,18.932502,-285.414796,-65.150606,189.143845
0.43,58109.75,180.0000,90.0000,44.850080,10.237766,-29.722063,10.635610,8.371459,18.932502,-285.414796,-65.150606,189.143845
0.43,58109.75,180.0000,90.0000,44.850080,10.237766,-29.722063,10.635610,8.371459,18.932502,-285.414796,-65.150606,189.143845
0.43,58109.75,180.0000,90.0000,44.850080,10.237766,-29.722063,10.635610,8.371459,18.932502,-285.414796,-65.150606,189.143845
0.43,58109.75,180.0000,90.0000,44.850080,10.237766,-29.722063,10.635610,8.371459,18.932502,-285.414796,-65.150606,189.143845
0.44,58109.75,180.0000,90.0000,44.850080,10.237766,-29.722063,10.635610,8.371459,18.932502,-285.414796,-65.150606,189.143845
0.44,58109.75,180.0000,90.0000,44.920675,10.254223,-29.798160,10.576592,8.626765,18.912860,-285.410748,-65.151861,189.327416
0.44,58106.05,180.0000,90.0000,44.920675,10.254223,-29.798160,10.576592,8.626765,18.912860,-285.410748,-65.151861,189.327416
0.45,58106.05,180.0000,90.0000,44.920675,10.254223,-29.798160,10.576592,8.626765,18.912860,-285.410748,-65.151861,189.327416
0.45,58106.05,180.0000,90.0000,44.920675,10.254223,-29.798160,10.576592,8.626765,18.912860,-285.410748,-65.151861,189.327416
0.45,58106.05,180.0000,90.0000,44.920675,10.254223,-29.798160,10.576592,8.626765,18.912860,-285.410748,-65.151861,189.327416
0.45,58106.05,180.0000,90.0000,44.920675,10.254223,-29.798160,10.576592,8.626765,18.912860,-285.410748,-65.151861,189.327416
0.47,58106.05,179.9743,89.9753,44.920675,10.254223,-29.798160,10.576592,8.626765,18.912860,-285.406693,-65.153115,189.510992
0.48,58102.34,180.0000,90.0000,44.917507,10.253843,-29.825374,10.399346,8.794747,18.685185,-285.406693,-65.153115,189.510992
0.48,58102.34,180.0000,90.0000,44.917507,10.253843,-29.825374,10.399346,8.794747,18.685185,-285.406693,-65.153115,189.510992
0.48,58102.34,180.0000,90.0000,44.917507,10.253843,-29.825374,10.399346,8.794747,18.685185,-285.406693,-65.153115,189.510992
0.48,58102.34,180.0000,90.0000,44.917507,10.253843,-29.825374,10.399346,8.794747,18.685185,-285.406693,-65.153115,189.510992
0.48,58102.34,180.0000,90.0000,44.917507,10.253843,-29.825374,10.399346,8.794747,18.685185,-285.406693,-65.153115,189.510992
0.48,58102.34,180.0000,90.0000,44.917507,10.253843,-29.825374,10.399346,8.794747,18.685185,-285.406693,-65.153115,189.510992
0.49,58098.63,180.0000,90.0000,44.990053,10.270762,-29.902931,10.330448,9.063418,18.655550,-285.402419,-65.154413,189.694571
0.49,58098.63,180.0000,90.0000,44.990053,10.270762,-29.902931,10.330448,9.063418,18.655550,-285.402419,-65.154413,189.694571
0.49,58098.63,180.0000,90.0000,44.990053,10.270762,-29.902931,10.330448,9.063418,18.655550,-285.402419,-65.154413,189.694571
0.49,58098.63,180.0000,90.0000,44.990053,10.270762,-29.902931,10.330448,9.063418,18.655550,-285.402419,-65.154413,189.694571
0.50,58098.63,180.0000,90.0000,44.990053,10.270762,-29.902931,10.330448,9.063418,18.655550,-285.402419,-65.154413,189.694571
0.50,58098.63,180.0000,90.0000,44.990053,10.270762,-29.902931,10.330448,9.063418,18.655550,-285.402419,-65.154413,189.694571
0.52,58098.63,179.9744,90.0000,44.990053,10.270762,-29.902931,10.134458,9.229199,18.399643,-285.398137,-65.155710,189.878161
0.52,58094.91,180.0000,90.0000,44.986963,10.270416,-29.930265,10.134458,9.229199,18.399643,-285.398137,-65.155710,189.878161
0.52,58094.91,180.0000,90.0000,44.986963,10.270416,-29.930265,10.134458,9.229199,18.399643,-285.398137,-65.155710,189.878161
0.53,58094.91,180.0000,90.0000,44.986963,10.270416,-29.930265,10.134458,9.229199,18.399643,-285.398137,-65.155710,189.878161
0.53,58094.91,180.0000,90.0000,44.986963,10.270416,-29.930265,10.134458,9.229199,18.399643,-285.398137,-65.155710,189.878161
0.53,58094.91,180.0000,90.0000,44.986963,10.270416,-29.930265,10.134458,9.229199,18.399643,-285.398137,-65.155710,189.878161
0.54,58094.91,179.9744,89.9756,44.986963,10.270416,-29.930265,10.134458,9.229199,18.399643,-285.393540,-65.156915,190.061600
0.54,58091.19,180.0000,90.0000,45.062193,10.287947,-30.009763,10.055407,9.510149,18.359313,-285.393540,-65.156915,190.061600
0.54,58091.19,180.0000,90.0000,45.062193,10.287947,-30.009763,10.055407,9.510149,18.359313,-285.393540,-65.156915,190.061600
0.54,58091.19,180.0000,90.0000,45.062193,10.287947,-30.009763,10.055407,9.510149,18.359313,-285.393540,-65.156915,190.061600
0.54,58091.19,180.0000,90.0000,45.062193,10.287947,-30.009763,10.055407,9.510149,18.359313,-285.393540,-65.156915,190.061600
0.54,58091.19,180.0000,90.0000,45.062193,10.287947,-30.009763,10.055407,9.510149,18.359313,-285.393540,-65.156915,190.061600
0.54,58091.19,180.0000,90.0000,45.062193,10.287947,-30.009763,10.055407,9.510149,18.359313,-285.393540,-65.156915,190.061600
0.57,58091.19,180.0000,90.0000,45.059205,10.287621,-30.037222,9.839851,9.670121,18.072856,-285.388932,-65.158121,190.245051
0.57,58087.47,180.0000,90.0000,45.059205,10.287621,-30.037222,9.839851,9.670121,18.072856,-285.388932,-65.158121,190.245051
0.57,58087.47,180.0000,90.0000,45.059205,10.287621,-30.037222,9.839851,9.670121,18.072856,-285.388932,-65.158121,190.245051
0.57,58087.47,180.0000,90.0000,45.059205,10.287621,-30.037222,9.839851,9.670121,18.072856,-285.388932,-65.158121,190.245051
0.57,58087.47,180.0000,90.0000,45.059205,10.287621,-30.037222,9.839851,9.670121,18.072856,-285.388932,-65.158121,190.245051
0.57,58087.47,180.0000,90.0000,45.059205,10.287621,-30.037222,9.839851,9.670121,18.072856,-285.388932,-65.158121,190.245051
0.58,58087.47,179.9744,89.9758,45.059205,10.287621,-30.037222,9.839851,9.670121,18.072856,-285.384720,-65.159014,190.428694
0.58,58083.74,180.0000,90.0000,45.136791,10.305628,-30.118432,9.750195,9.962128,18.020810,-285.384720,-65.159014,190.428694
0.59,58083.74,180.0000,90.0000,45.136791,10.305628,-30.118432,9.750195,9.962128,18.020810,-285.384720,-65.159014,190.428694
0.59,58083.74,180.0000,90.0000,45.136791,10.305628,-30.118432,9.750195,9.962128,18.020810,-285.384720,-65.159014,190.428694
0.59,58083.74,180.0000,90.0000,45.136791,10.305628,-30.118432,9.750195,9.962128,18.020810,-285.384720,-65.159014,190.428694
0.59,58083.74,180.0000,90.0000,45.136791,10.305628,-30.118432,9.750195,9.962128,18.020810,-285.384720,-65.159014,190.428694
0.59,58083.74,180.0000,90.0000,45.136791,10.305628,-30.118432,9.750195,9.962128,18.020810,-285.384720,-65.159014,190.428694
0.61,58083.74,179.9744,90.0000,45.136791,10.305628,-30.118432,9.514305,10.112375,17.701472,-285.380512,-65.159919,190.612332
0.62,58080.01,180.0000,90.0000,45.133920,10.305268,-30.146003,9.514305,10.112375,17.701472,-285.380512,-65.159919,190.612332
0.62,58080.01,180.0000,90.0000,45.133920,10.305268,-30.146003,9.514305,10.112375,17.701472,-285.380512,-65.159919,190.612332
0.62,58080.01,180.0000,90.0000,45.133920,10.305268,-30.146003,9.514305,10.112375,17.701472,-285.380512,-65.159919,190.612332
0.62,58080.01,180.0000,90.0000,45.133920,10.305268,-30.146003,9.514305,10.112375,17.701472,-285.380512,-65.159919,190.612332
0.62,58080.01,180.0000,90.0000,45.133920,10.305268,-30.146003,9.514305,10.112375,17.701472,-285.380512,-65.159919,190.612332
0.62,58080.01,180.0000,90.0000,45.133920,10.305268,-30.146003,9.514305,10.112375,17.701472,-285.380512,-65.159919,190.612332
0.63,58076.27,180.0000,90.0000,45.214182,10.323887,-30.229158,9.413480,10.413779,17.636399,-285.376281,-65.160804,190.795989
0.63,58076.27,180.0000,90.0000,45.214182,10.323887,-30.229158,9.413480,10.413779,17.636399,-285.376281,-65.160804,190.795989
0.63,58076.27,180.0000,90.0000,45.214182,10.323887,-30.229158,9.413480,10.413779,17.636399,-285.376281,-65.160804,190.795989
0.64,58076.27,180.0000,90.0000,45.214182,10.323887,-30.229158,9.413480,10.413779,17.636399,-285.376281,-65.160804,190.795989
0.64,58076.27,180.0000,90.0000,45.214182,10.323887,-30.229158,9.413480,10.413779,17.636399,-285.376281,-65.160804,190.795989
0.64,58076.27,180.0000,90.0000,45.214182,10.323887,-30.229158,9.413480,10.413779,17.636399,-285.376281,-65.160804,190.795989
0.66,58076.27,179.9744,90.0000,45.214182,10.323887,-30.229158,9.156776,10.549557,17.282025,-285.372054,-65.161704,190.979640
0.66,58072.54,180.0000,90.0000,45.211452,10.323559,-30.256876,9.156776,10.549557,17.282025,-285.372054,-65.161704,190.979640
0.66,58072.54,180.0000,90.0000,45.211452,10.323559,-30.256876,9.156776,10.549557,17.282025,-285.372054,-65.161704,190.979640
0.66,58072.54,180.0000,90.0000,45.211452,10.323559,-30.256876,9.156776,10.549557,17.282025,-285.372054,-65.161704,190.979640
0.67,58072.54,180.0000,90.0000,45.211452,10.323559,-30.256876,9.156776,10.549557,17.282025,-285.372054,-65.161704,190.979640
0.67,58072.54,180.0000,90.0000,45.211452,10.323559,-30.256876,9.156776,10.549557,17.282025,-285.372054,-65.161704,190.979640
0.68,58072.54,179.9744,89.9764,45.211452,10.323559,-30.256876,9.156776,10.549557,17.282025,-285.367819,-65.162582,191.163306
0.68,58068.79,180.0000,90.0000,45.294583,10.342834,-30.342111,9.044792,10.858844,17.203526,-285.367819,-65.162582,191.163306
0.68,58068.79,180.0000,90.0000,45.294583,10.342834,-30.342111,9.044792,10.858844,17.203526,-285.367819,-65.162582,191.163306
0.68,58068.79,180.0000,90.0000,45.294583,10.342834,-30.342111,9.044792,10.858844,17.203526,-285.367819,-65.162582,191.163306
0.68,58068.79,180.0000,90.0000,45.294583,10.342834,-30.342111,9.044792,10.858844,17.203526,-285.367819,-65.162582,191.163306
0.68,58068.79,180.0000,90.0000,45.294583,10.342834,-30.342111,9.044792,10.858844,17.203526,-285.367819,-65.162582,191.163306
0.68,58068.79,180.0000,90.0000,45.294583,10.342834,-30.342111,9.044792,10.858844,17.203526,-285.367819,-65.162582,191.163306
0.71,58065.05,180.0000,90.0000,45.291999,10.342539,-30.369981,8.767113,10.975040,16.812321,-285.363588,-65.163474,191.346966
0.71,58065.05,180.0000,90.0000,45.291999,10.342539,-30.369981,8.767113,10.975040,16.812321,-285.363588,-65.163474,191.346966
0.71,58065.05,180.0000,90.0000,45.291999,10.342539,-30.369981,8.767113,10.975040,16.812321,-285.363588,-65.163474,191.346966
0.71,58065.05,180.0000,90.0000,45.291999,10.342539,-30.369981,8.767113,10.975040,16.812321,-285.363588,-65.163474,191.346966
0.71,58065.05,180.0000,90.0000,45.291999,10.342539,-30.369981,8.767113,10.975040,16.812321,-285.363588,-65.163474,191.346966
0.72,58065.05,180.0000,90.0000,45.291999,10.342539,-30.369981,8.767113,10.975040,16.812321,-285.363588,-65.163474,191.346966
0.72,58065.05,180.0000,90.0000,45.377908,10.362448,-30.457244,8.643678,11.290089,16.719339,-285.359357,-65.164343,191.530636
0.73,58061.30,180.0000,90.0000,45.377908,10.362448,-30.457244,8.643678,11.290089,16.719339,-285.359357,-65.164343,191.530636
0.73,58061.30,180.0000,90.0000,45.377908,10.362448,-30.457244,8.643678,11.290089,16.719339,-285.359357,-65.164343,191.530636
0.73,58061.30,180.0000,90.0000,45.377908,10.362448,-30.457244,8.643678,11.290089,16.719339,-285.359357,-65.164343,191.530636
0.73,58061.30,180.0000,90.0000,45.377908,10.362448,-30.457244,8.643678,11.290089,16.719339,-285.359357,-65.164343,191.530636
0.73,58061.30,180.0000,90.0000,45.377908,10.362448,-30.457244,8.643678,11.290089,16.719339,-285.359357,-65.164343,191.530636
0.75,58061.30,179.9745,89.9769,45.377908,10.362448,-30.457244,8.643678,11.290089,16.719339,-285.355131,-65.165226,191.714302
0.75,58057.55,180.0000,90.0000,45.375497,10.362192,-30.485282,8.345155,11.381094,16.289784,-285.355131,-65.165226,191.714302
0.75,58057.55,180.0000,90.0000,45.375497,10.362192,-30.485282,8.345155,11.381094,16.289784,-285.355131,-65.165226,191.714302
0.76,58057.55,180.0000,90.0000,45.375497,10.362192,-30.485282,8.345155,11.381094,16.289784,-285.355131,-65.165226,191.714302
